 m_bits Method  R_bits_per_token  utilization  empirical_entropy_rate_bits_per_token  N_tokens_mean  N_trials
     77   ACS2          3.214721     0.965664                               3.322789           25.6        10
     78   ACS1          3.376561     0.978129                               3.449360           25.3        10
     78 Discop          2.711999     0.871789                               3.103668           30.3        10
     78   ACS2          2.933288     0.967619                               3.039153           28.2        10
     79   ACS1          2.988842     0.971962                               3.074026           27.1        10
     79 Discop          3.149789     0.909995                               3.452718           26.5        10
     79   ACS2          2.824247     0.985107                               2.874889           29.8        10
     80   ACS1          2.966318     0.983280                               3.015281           27.8        10
     80 Discop          2.627926     0.873794                               3.006075           32.8        10
     80   ACS2          3.264188     0.985785                               3.313046           25.3        10
     81   ACS1          3.314179     0.957828                               3.469655           25.1        10
     81 Discop          2.941748     0.902510                               3.256311           29.4        10
     81   ACS2          2.891586     0.971310                               2.978507           28.8        10
     82   ACS1          3.331880     0.981677                               3.393953           25.6        10
     82 Discop          2.765716     0.886455                               3.107402           32.1        10
     82   ACS2          3.014769     0.976449                               3.091230           27.9        10
     83   ACS1          3.116257     0.990073                               3.148921           27.3        10
     83 Discop          2.517696     0.880565                               2.855070           34.4        10
     83   ACS2          2.870184     0.979963                               2.926177           30.8        10
     84   ACS1          2.965164     0.982278                               3.011190           31.0        10
     84 Discop          2.709337     0.882183                               3.073683           33.1        10
     84   ACS2          3.096732     0.984549                               3.147653           29.9        10
     85   ACS1          3.234361     0.967222                               3.353261           30.6        10
     85 Discop          2.811966     0.881028                               3.192064           32.2        10
     85   ACS2          3.296225     0.978992                               3.358069           28.1        10
     86   ACS1          2.969844     0.981009                               3.033504           30.5        10
     86 Discop          3.163443     0.887093                               3.562398           28.8        10
     86   ACS2          3.100141     0.976224                               3.176070           29.6        10
     87   ACS1          3.066348     0.988245                               3.100180           29.8        10
     87 Discop          2.842731     0.883219                               3.209607           32.0        10
     87   ACS2          2.601099     0.985845                               2.641369           35.7        10
     88   ACS1          2.699148     0.985107                               2.738105           33.6        10
     88 Discop          2.891805     0.882160                               3.266521           32.8        10
