       R_bits_per_token                   utilization                   entropy_rate_bits_per_token                   mean_N_tokens                    
method             ACS1     ACS2   Discop        ACS1     ACS2   Discop                        ACS1     ACS2   Discop          ACS1      ACS2    Discop
m_bits                                                                                                                                                 
105            6.603774 6.774194 6.521739    0.975040 0.958677 0.933619                    6.772821 7.066188 6.985437     15.900000 15.500000 16.100000
106            6.708861 6.973684 6.198830    0.960612 0.973967 0.924318                    6.983946 7.160085 6.706384     15.800000 15.200000 17.100000
107            6.772152 6.687500 6.220930    0.958225 0.978370 0.923947                    7.067390 6.835345 6.732994     15.800000 16.000000 17.200000
108            6.545455 6.506024 6.101695    0.975519 0.974605 0.921722                    6.709715 6.675547 6.619884     16.500000 16.600000 17.700000
109            6.942675 6.687117 6.488095    0.969282 0.971762 0.925730                    7.162696 6.881433 7.008622     15.700000 16.300000 16.800000
110            6.470588 6.470588 6.111111    0.960627 0.965820 0.924029                    6.735798 6.699580 6.613553     17.000000 17.000000 18.000000
111            6.851852 6.727273 6.491228    0.971980 0.982176 0.937932                    7.049378 6.849357 6.920789     16.200000 16.500000 17.100000
112            6.829268 6.829268 6.627219    0.975332 0.975667 0.927251                    7.001994 6.999592 7.147170     16.400000 16.400000 16.900000
113            6.608187 6.608187 6.457143    0.971031 0.969416 0.912083                    6.805328 6.816668 7.079558     17.100000 17.100000 17.500000
114            6.951220 7.125000 6.705882    0.972530 0.965296 0.947785                    7.147561 7.381156 7.075319     16.400000 16.000000 17.000000
115            6.571429 6.686047 6.182796    0.963157 0.968349 0.916704                    6.822804 6.904587 6.744596     17.500000 17.200000 18.600000
116            6.904762 7.160494 6.705202    0.965746 0.970188 0.934915                    7.149665 7.380523 7.171989     16.800000 16.200000 17.300000
117            6.358696 6.157895 6.324324    0.968234 0.979946 0.926684                    6.567315 6.283913 6.824686     18.400000 19.000000 18.500000
118            6.820809 6.666667 6.519337    0.964434 0.974657 0.932751                    7.072347 6.840014 6.989362     17.300000 17.700000 18.100000
119            6.918605 6.723164 6.296296    0.986782 0.973964 0.918082                    7.011281 6.902890 6.858098     17.200000 17.700000 18.900000
120            6.703911 6.666667 6.250000    0.972185 0.983571 0.927546                    6.895713 6.778023 6.738211     17.900000 18.000000 19.200000
121            6.436170 6.685083 6.269430    0.978565 0.960077 0.926165                    6.577151 6.963067 6.769239     18.800000 18.100000 19.300000
122            6.666667 6.703297 6.387435    0.977397 0.968385 0.922132                    6.820841 6.922140 6.926810     18.300000 18.200000 19.100000
123            6.684783 6.612903 6.373057    0.973204 0.974142 0.934460                    6.868840 6.788439 6.820044     18.400000 18.600000 19.300000
124            6.739130 6.966292 6.492147    0.978968 0.983487 0.935526                    6.883912 7.083257 6.939569     18.400000 17.800000 19.100000
125            6.684492 6.906077 6.410256    0.967203 0.988935 0.927980                    6.911157 6.983348 6.907751     18.700000 18.100000 19.500000
126            6.961326 6.847826 6.461538    0.966170 0.973755 0.938033                    7.205077 7.032395 6.888390     18.100000 18.400000 19.500000
127            6.791444 6.791444 6.684211    0.970729 0.980804 0.920106                    6.996228 6.924362 7.264608     18.700000 18.700000 19.000000
128            6.243902 6.305419 6.274510    0.972146 0.976881 0.941027                    6.422801 6.454641 6.667725     20.500000 20.300000 20.400000
129            6.972973 6.515152 6.386139    0.980454 0.979511 0.914806                    7.111983 6.651432 6.980868     18.500000 19.800000 20.200000
130            6.565657 6.500000 6.220096    0.972801 0.971477 0.935448                    6.749225 6.690842 6.649326     19.800000 20.000000 20.900000
131            6.582915 6.453202 6.298077    0.974949 0.965449 0.931845                    6.752058 6.684149 6.758715     19.900000 20.300000 20.800000
132            6.700508 6.734694 6.633166    0.971489 0.972260 0.936133                    6.897156 6.926847 7.085709     19.700000 19.600000 19.900000
133            6.519608 6.519608 6.186047    0.972009 0.975567 0.931687                    6.707351 6.682888 6.639619     20.400000 20.400000 21.500000
134            6.836735 6.666667 6.442308    0.972037 0.978827 0.934114                    7.033409 6.810872 6.896702     19.600000 20.100000 20.800000
135            6.994819 6.852792 6.818182    0.969657 0.974965 0.943601                    7.213707 7.028760 7.225705     19.300000 19.700000 19.800000
136            6.570048 6.666667 6.153846    0.978985 0.974477 0.923479                    6.711083 6.841279 6.663760     20.700000 20.400000 22.100000
137            7.135417 6.815920 6.462264    0.986663 0.979774 0.928241                    7.231865 6.956626 6.961837     19.200000 20.100000 21.200000
138            6.666667 6.602871 6.634615    0.971043 0.977480 0.937616                    6.865469 6.754995 7.076044     20.700000 20.900000 20.800000
139            6.780488 6.682692 6.435185    0.966068 0.982823 0.934332                    7.018645 6.799485 6.887474     20.500000 20.800000 21.600000
140            6.698565 6.829268 6.334842    0.975926 0.987800 0.920581                    6.863804 6.913616 6.881351     20.900000 20.500000 22.100000
141            7.050000 6.945813 6.778846    0.977216 0.978568 0.940712                    7.214371 7.097939 7.206078     20.000000 20.300000 20.800000
142            6.859903 6.729858 6.283186    0.980415 0.982708 0.931340                    6.996938 6.848277 6.746396     20.700000 21.100000 22.600000
143            6.500000 6.651163 6.190476    0.978944 0.981227 0.928816                    6.639805 6.778412 6.664911     22.000000 21.500000 23.100000
144            6.857143 6.889952 6.605505    0.977423 0.975978 0.937476                    7.015533 7.059533 7.046055     21.000000 20.900000 21.800000
145            6.590909 6.651376 6.531532    0.971672 0.978629 0.929183                    6.783057 6.796629 7.029324     22.000000 21.800000 22.200000
146            6.919431 6.759259 6.636364    0.984623 0.985527 0.938575                    7.027494 6.858519 7.070679     21.100000 21.600000 22.000000
147            6.901408 6.901408 6.869159    0.985819 0.983016 0.948098                    7.000684 7.020649 7.245201     21.300000 21.300000 21.400000
148            6.462882 6.577778 6.462882    0.977044 0.974667 0.930386                    6.614729 6.748746 6.946450     22.900000 22.500000 22.900000
149            6.834862 6.742081 6.563877    0.987884 0.974037 0.937992                    6.918688 6.921795 6.997793     21.800000 22.100000 22.700000
150            7.042254 7.075472 6.637168    0.975576 0.972417 0.932744                    7.218562 7.276168 7.115746     21.300000 21.200000 22.600000
151            6.801802 6.741071 6.711111    0.971151 0.976003 0.935417                    7.003860 6.906813 7.174458     22.200000 22.400000 22.500000
152            6.940639 6.972477 6.877828    0.987151 0.979371 0.938436                    7.030981 7.119345 7.329035     21.900000 21.800000 22.100000
153            6.954545 6.986301 6.348548    0.980706 0.984367 0.926851                    7.091368 7.097252 6.849588     22.000000 21.900000 24.100000
154            6.875000 7.064220 6.609442    0.977429 0.984386 0.935145                    7.033756 7.176269 7.067828     22.400000 21.800000 23.300000
155            6.919643 6.888889 6.352459    0.976909 0.977331 0.944364                    7.083203 7.048673 6.726707     22.400000 22.500000 24.400000
156            6.872247 7.027027 6.117647    0.984038 0.977104 0.938536                    6.983724 7.191685 6.518288     22.700000 22.200000 25.500000
157            6.596639 6.652542 6.305221    0.978388 0.980940 0.932910                    6.742357 6.781806 6.758658     23.800000 23.600000 24.900000
158            6.781116 6.475410 6.422764    0.982499 0.978646 0.933118                    6.901904 6.616700 6.883123     23.300000 24.400000 24.600000
159            6.737288 6.516393 6.489796    0.979713 0.985288 0.928355                    6.876794 6.613692 6.990642     23.600000 24.400000 24.500000
160            6.374502 6.504065 6.015038    0.983650 0.978580 0.926682                    6.480456 6.646431 6.490943     25.100000 24.600000 26.600000
161            6.880342 6.764706 6.625514    0.987844 0.986866 0.947145                    6.965010 6.854738 6.995246     23.400000 23.800000 24.300000
162            6.806723 6.864407 6.428571    0.986820 0.973564 0.937009                    6.897636 7.050799 6.860735     23.800000 23.600000 25.200000
163            6.906780 6.707819 6.763485    0.983002 0.977427 0.937304                    7.026212 6.862731 7.215896     23.600000 24.300000 24.100000
164            6.639676 6.890756 6.381323    0.979851 0.973343 0.933792                    6.776209 7.079473 6.833772     24.700000 23.800000 25.700000
165            6.991525 6.903766 6.600000    0.982504 0.979790 0.938777                    7.116029 7.046171 7.030423     23.600000 23.900000 25.000000
166            6.587302 6.640000 6.240602    0.973751 0.982958 0.924914                    6.764871 6.755121 6.747225     25.200000 25.000000 26.600000
167            6.872428 6.844262 6.600791    0.976231 0.977647 0.936650                    7.039756 7.000750 7.047231     24.300000 24.400000 25.300000
168            6.970954 6.942149 6.588235    0.976575 0.984729 0.939606                    7.138163 7.049807 7.011696     24.100000 24.200000 25.500000
169            6.679842 6.814516 6.450382    0.979721 0.984994 0.939832                    6.818105 6.918332 6.863338     25.300000 24.800000 26.200000
170            6.827309 6.995885 6.719368    0.983896 0.980480 0.948030                    6.939055 7.135160 7.087716     24.900000 24.300000 25.300000
171            6.923077 6.923077 6.840000    0.977577 0.980377 0.942169                    7.081876 7.061649 7.259846     24.700000 24.700000 25.000000
172            6.745098 6.718750 6.564885    0.983736 0.979340 0.947173                    6.856615 6.860491 6.931034     25.500000 25.600000 26.200000
173            6.679537 6.679537 6.383764    0.981150 0.989105 0.947023                    6.807865 6.753113 6.740872     25.900000 25.900000 27.100000
174            6.960000 6.744186 6.566038    0.980502 0.979649 0.936366                    7.098405 6.884291 7.012256     25.000000 25.800000 26.500000
175            6.704981 6.529851 6.363636    0.980471 0.981506 0.943263                    6.838528 6.652891 6.746407     26.100000 26.800000 27.500000
176            6.567164 6.542751 6.353791    0.978387 0.982603 0.937128                    6.712238 6.658592 6.780070     26.800000 26.900000 27.700000
177            6.887160 7.108434 6.679245    0.982457 0.981970 0.929820                    7.010135 7.238949 7.183376     25.700000 24.900000 26.500000
178            6.846154 6.953125 6.379928    0.979435 0.988792 0.946031                    6.989904 7.031941 6.743893     26.000000 25.600000 27.900000
179            6.580882 6.780303 6.130137    0.978472 0.984705 0.931299                    6.725676 6.885619 6.582351     27.200000 26.400000 29.200000
180            6.976744 6.870229 6.338028    0.993502 0.979884 0.942227                    7.022379 7.011264 6.726644     25.800000 26.200000 28.400000
181            6.804511 6.654412 6.510791    0.988088 0.976479 0.929771                    6.886545 6.814699 7.002573     26.600000 27.200000 27.800000
182            6.842105 6.765799 6.500000    0.982468 0.989099 0.944185                    6.964204 6.840366 6.884247     26.600000 26.900000 28.000000
183            6.802974 6.984733 6.559140    0.981095 0.986784 0.938704                    6.934061 7.078282 6.987442     26.900000 26.200000 27.900000
184            6.917293 6.917293 6.478873    0.985230 0.982333 0.937654                    7.020993 7.041696 6.909660     26.600000 26.600000 28.400000
185            7.034221 6.954887 6.423611    0.983552 0.976613 0.932101                    7.151858 7.121433 6.891542     26.300000 26.600000 28.800000
186            6.914498 6.966292 6.642857    0.978990 0.983138 0.943254                    7.062886 7.085771 7.042492     26.900000 26.700000 28.000000
187            6.900369 7.083333 6.678571    0.982021 0.983647 0.937209                    7.026699 7.201093 7.126021     27.100000 26.400000 28.000000
188            6.937269 7.094340 6.666667    0.988561 0.988315 0.936127                    7.017541 7.178219 7.121543     27.100000 26.500000 28.200000
189            6.774194 6.923077 6.539792    0.984367 0.986961 0.939469                    6.881778 7.014543 6.961157     27.900000 27.300000 28.900000
190            6.643357 6.884058 6.354515    0.986514 0.981857 0.932800                    6.734177 7.011260 6.812298     28.600000 27.600000 29.900000
191            6.631944 6.749117 6.201299    0.988701 0.986453 0.939008                    6.707736 6.841803 6.604098     28.800000 28.300000 30.800000
192            6.832740 7.164179 6.575342    0.987622 0.983376 0.931562                    6.918378 7.285291 7.058407     28.100000 26.800000 29.200000
193            6.819788 6.476510 6.031250    0.983676 0.983652 0.935658                    6.932964 6.584150 6.445996     28.300000 29.800000 32.000000
194            6.621160 6.830986 6.510067    0.984808 0.984115 0.945646                    6.723302 6.941247 6.884251     29.300000 28.400000 29.800000
195            6.701031 6.747405 6.270096    0.986175 0.981337 0.934208                    6.794971 6.875727 6.711672     29.100000 28.900000 31.100000
196            6.829268 6.877193 6.511628    0.987092 0.982887 0.940300                    6.918571 6.996933 6.925054     28.700000 28.500000 30.100000
197            6.769759 6.523179 6.459016    0.983251 0.988344 0.951109                    6.885079 6.600110 6.791035     29.100000 30.200000 30.500000
198            6.996466 6.804124 6.851211    0.986080 0.988691 0.951255                    7.095232 6.881952 7.202284     28.300000 29.100000 28.900000
199            7.031802 6.815068 6.440129    0.980818 0.980351 0.937392                    7.169323 6.951662 6.870265     28.300000 29.200000 30.900000
200            6.896552 7.017544 6.578947    0.983377 0.989616 0.937729                    7.013129 7.091175 7.015833     29.000000 28.500000 30.400000
201            6.907216 6.907216 6.261682    0.987627 0.988249 0.938056                    6.993750 6.989347 6.675169     29.100000 29.100000 32.100000
202            6.710963 6.801347 6.312500    0.987558 0.989605 0.927663                    6.795511 6.872792 6.804736     30.100000 29.700000 32.000000
203            6.677632 6.721854 6.485623    0.986070 0.981176 0.933569                    6.771965 6.850817 6.947125     30.400000 30.200000 31.300000
204            6.800000 6.891892 6.455696    0.980404 0.979203 0.933017                    6.935916 7.038266 6.919165     30.000000 29.600000 31.600000
205            6.426332 6.212121 6.193353    0.990695 0.986017 0.938979                    6.486692 6.300216 6.595835     31.900000 33.000000 33.100000
206            6.602564 6.623794 6.223565    0.985109 0.978069 0.934709                    6.702369 6.772321 6.658294     31.200000 31.100000 33.100000
207            6.786885 6.809211 6.489028    0.983966 0.991315 0.928544                    6.897483 6.868869 6.988389     30.500000 30.400000 31.900000
208            6.910299 6.887417 6.540881    0.980090 0.980319 0.938656                    7.050679 7.025693 6.968345     30.100000 30.200000 31.800000
209            6.763754 6.785714 6.450617    0.986070 0.983727 0.942064                    6.859303 6.897964 6.847325     30.900000 30.800000 32.400000
210            6.645570 6.885246 6.382979    0.987276 0.976936 0.942326                    6.731218 7.047797 6.773644     31.600000 30.500000 32.900000
211            6.963696 6.850649 6.656151    0.985355 0.988262 0.944457                    7.067194 6.932015 7.047593     30.300000 30.800000 31.700000
212            6.973684 7.066667 6.503067    0.991381 0.978111 0.944443                    7.034315 7.224811 6.885612     30.400000 30.000000 32.600000
213            6.826923 6.783439 6.454545    0.989489 0.977128 0.936661                    6.899441 6.942225 6.891014     31.200000 31.400000 33.000000
214            6.815287 6.772152 6.666667    0.983259 0.980036 0.939021                    6.931323 6.910103 7.099596     31.400000 31.600000 32.100000
